district,blood_bank,blood_bank_address,contact_person,contact_number
ikorodu,St. Raphel Divine Mercy Specialist Hosp.,"bogetownbyceleb/stopijederoad,ikorodu.",Rev. Sis. Mary-Victoria Olonikadi,"08135280010 , 08034028855"
ikorodu,Marvellous Laboratory,",ikosiroad,ketu",Mr. Oduneye A.A.,8034056393
ikorodu,Emti Medical Laboratory,"  ikoroduroad,ketu",Mr. Osehon E.,08023237088 / 08038006962
ikorodu,True Picture Medical Laboratory,"/,awoloworoadokeotaonaikorodu",Mrs. Okeoma Obiageri I.,8029071784
ikorodu,Meditex Diagnostic Laboratory,borokinidadastreet ikorodu.,Mr. Nwosu H.,8033444824
ikorodu,Jimac Medical Laboratory,",jokodolaclose,offbeachroadikorodu",Mr. J. M. Onu,8023228623
ikorodu,Hosana Medical Diagnostics Service,",elukustreet,ikorodu",Mr. Ejike. Eme.,8037031675
ikorodu,Absolute Success Medical Laboratory,"b,bellosolebo beachroad,ikorodu",Mr. Oyefule O.B.,8029164443
ikorodu,Jobeth Medical Laboratory Services,",alhajiladegastreet,ikorodu",Mrs. Akhidue-Victor Joy,8037722133
isolo,Ati-Gab Medical Laboratory,",mushinroad,oppisologeneralhospital.isolo",Mr. Aderibigbe Adedeji,8033459235
isolo,Gantez Medical Laboratory,",okotaroad,oppgideonb/stop,isolo",Mr. Nwaka Gabriel,8023027408
isolo,Krista Medical Laboratories,",mushinroad,isolo",Mr. Ajose N. A,8037234497
kosofe,St. Dan’s Blood Bank,",oduduwastreet,carwashb/stop,oworoshoki.",Dr. Joseph Tijani,8023231111
kosofe,Rehoboth  Diagnostic Laboratory,ikosiroadketu,Mr. Osunro Johnson,8023468304
kosofe,Chevron Medical Hospital,"/,soluyiestate,gbaga",Mr. Asena Kolade,"012772222, 08033285222"
kosofe,Peak Diagnostic Service,",churchstreet,gbagada.",Mr. Sanni Olalekan,8033311033
lagosislan,St. Nicholas Hospital,",campbellstreet,lagosislan",Chief Majekodunmi,8035251295
mushin,Praise Medical Diagnostics Services,",isoloroad,mushin,lagos",Mr. Fatokun Amos,8062487104
mushin,Alberto Medical Laboratory Ltd,"/,ishagaroad,surulere,mushin",Dr. Ifionu B I,"08022240932 , 08074142274"
mushin,CrestMark Diagnostic LTD,",oyegbolastreet,offkayodestreet, onipanu,lagos.",Mr. Nelson Ekpe,7031321491
ojo,New Era Medical Diagnostic,",eraroad, iyana-era,badagryexpressway.",Mr.  Sunday Esiedesa,8033378877
ojo,Foresight Diagnostic  Centre,",ilogboroad, ajangbadi,ojo",Mr. Obideyi O.F.,"08033245769 , 09084975992"
ojo,Anike Medical  Diagnostic Centre,",akaroad,okokomaiko",Oyewole Adeyinka,8033571298
ojo,Prestige Diagnostic Centre,",ojoigbederoad,ajangbadi,ojo.",Dr. Durotimi O.A.,8033467911
ojo,Cornerstone Medical Diagnostic,",ojoigbederd,schoolb/stopajangbadi,ojo.",Mr. Hamzat Abiodun A.,8037131355
ojo,Livingstone Medical  Diagnostics,",olojodrive,volkb/stop,ojo,",Mr. Afolabi Ikusaani,8033842283
ojokoro,Ahmadiyya Muslim Hospital,"km,lagosabeokutaexpresswayahmadiyya/stopojokoro",Dr. Nasrullahi Hamid,8039550921
ojokoro,Constant Care  Medical Laboratories,",fabolastreet,jankararoad, ijaiyeojokoro,lagos.",Mr. Ike Nnemeka,8034546950
oshodiisolo,Dialyzer Medical Center,",arowojobestreet,oshodi",Dr. J. O. Awobusuyi,"08108935658 , 08023046830"
oshodiisolo,High Rocks Laboratory,",afariogunstreetoshodi",Dr. Oloyede O.A.O,8032343130
somolu,R-Jolad Hospital Laboratory,",akindelestreet,gbagada,lagos.",Mr. Funso Oladipupo,"08033282983 , 08052704298"
surulere,Othniel Consortium Diagnostic Ltd,",enitanstr.adetolab/s,aguda,surulere",Mr. Udemezie R. O.,8038404270
surulere,Baston Laboratory,"ojuelegbaroad,surulere,lagos",Mr. Ishola Taiwo,8034088568
surulere,Havanna Hospital,"akereleextension,surulere",Dr. G.C. Okeke,8027272727
surulere,Q-Med Diagnostic Center,adeniranogunsanyastreetsurulere,Dr. Ogbeche Emmanuel,8033002946
yab,Hoare’s Memorial Methodist Clinic.,",herbertmacaulayway,sabo,yaba,lagos",Dr. Malomo Idowu,08136706828 / 013424707
